Gate	Mid
1	4.4400000E-06
2	6.4400000E-06
3	8.4400000E-06
4	1.0440000E-05
5	1.2340000E-05
6	1.4340000E-05
7	1.6340000E-05
8	1.8340000E-05
9	2.0340000E-05
10	2.2840000E-05
11	2.5840000E-05
12	2.9340000E-05
13	3.3840000E-05
14	3.9840000E-05
15	4.7340000E-05
16	5.6340000E-05
17	6.7840000E-05
18	8.2340000E-05
19	1.0080000E-04
20	1.2430000E-04
21	1.5330000E-04
22	1.9030000E-04
23	2.3690000E-04
24	2.9480000E-04
25	3.6830000E-04
26	4.6090000E-04
27	5.7740000E-04
28	7.2380000E-04
29	9.0840000E-04
