Name	Time	Amp
WaveformLMPoint01=  -6.7400e-04 -0.000 
WaveformLMPoint02=  -6.6150e-04 -0.534 
WaveformLMPoint03=  -6.4563e-04 -0.811 
WaveformLMPoint04=  -6.2550e-04 -0.940 
WaveformLMPoint05=  -5.9993e-04 -0.987 
WaveformLMPoint06=  -5.6748e-04 -0.999 
WaveformLMPoint07=  -5.2629e-04 -1.000 
WaveformLMPoint08=  -4.7400e-04 -1.000 
WaveformLMPoint09=  -4.7394e-04 -0.969 
WaveformLMPoint10=  -4.7389e-04 -0.940 
WaveformLMPoint11=  -4.7385e-04 -0.905 
WaveformLMPoint12=  -4.7379e-04 -0.869 
WaveformLMPoint13=  -4.7376e-04 -0.826 
WaveformLMPoint14=  -4.7371e-04 -0.755 
WaveformLMPoint15=  -4.7363e-04 -0.655 
WaveformLMPoint16=  -4.7357e-04 -0.566 
WaveformLMPoint17=  -4.7346e-04 -0.427 
WaveformLMPoint18=  -4.7325e-04 -0.234 
WaveformLMPoint19=  -4.7302e-04 -0.129 
WaveformLMPoint20=  -4.7273e-04 -0.077 
WaveformLMPoint21=  -4.7238e-04 -0.044 
WaveformLMPoint22=  -4.7186e-04 -0.015 
WaveformLMPoint23=  -4.7120e-04 -0.000 
WaveformLMPoint24=  -2.0000e-04  0.000 
WaveformLMPoint25=  -1.8750e-04  0.534 
WaveformLMPoint26=  -1.7163e-04  0.811 
WaveformLMPoint27=  -1.5150e-04  0.940 
WaveformLMPoint28=  -1.2593e-04  0.987 
WaveformLMPoint29=  -9.3480e-05  0.999 
WaveformLMPoint30=  -5.2288e-05  1.000 
WaveformLMPoint31=   0.0000e+00  1.000 
WaveformLMPoint32=   5.8381e-08  0.969 
WaveformLMPoint33=   1.1460e-07  0.940 
WaveformLMPoint34=   1.5352e-07  0.905 
WaveformLMPoint35=   2.0542e-07  0.869 
WaveformLMPoint36=   2.3569e-07  0.826 
WaveformLMPoint37=   2.9191e-07  0.755 
WaveformLMPoint38=   3.6975e-07  0.655 
WaveformLMPoint39=   4.3029e-07  0.566 
WaveformLMPoint40=   5.3841e-07  0.427 
WaveformLMPoint41=   7.4598e-07  0.234 
WaveformLMPoint42=   9.7951e-07  0.129 
WaveformLMPoint43=   1.2693e-06  0.077 
WaveformLMPoint44=   1.6152e-06  0.044 
WaveformLMPoint45=   2.1385e-06  0.015 
WaveformLMPoint46=   2.8000e-06  0.000 
